outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE
1,1,52,52,0,0,0,0,5.86,5.86,304.88,304.88,609.76,11.72,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
2,2,892,374,1,783,1,265,8.89,8.89,3963.97,1662.02,5625.99,17.78,840,840,446.0,322,322,187.0,0,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,7.17,7.17,373.06,373.06,746.12,14.34,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,19.32,19.32,1004.8,1004.8,2009.6,38.64,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,13.57,13.57,705.79,705.79,1411.58,27.14,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,16.38,16.38,851.99,851.99,1703.98,32.76,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
3,3,1113,426,1,952,1,265,1.42,1.42,525.58,201.16,726.74,2.84,1009,1009,371.0,322,322,142.0,0,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,5.63,5.63,292.69,292.69,585.38,11.26,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.46,6.46,335.85,335.85,671.7,12.92,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
4,2,800,544,0,0,0,0,1.5,0.75,300.23,204.16,504.39,2.25,348,348,200.0,272,272,272.0,0,0,0,1,1,0,0,0
4,2,810,544,0,0,0,0,1.46,0.73,295.83,198.68,494.51,2.19,353,353,202.5,272,272,272.0,0,0,0,1,1,0,0,0
1,1,40,60,0,0,0,0,86.69,86.69,3467.73,5201.59,8669.32,173.38,40,40,40.0,60,60,60,0,1,1,0,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
0,1,0,114,0,0,1,26,0,0,0,0,0,0,0,0,0,114,114,114,1,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,1039.48,1039.48,54052.99,54052.99,108105.98,2078.96,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,4.1,4.1,213.38,213.38,426.76,8.2,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.09,6.09,316.88,316.88,633.76,12.18,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,4.23,4.23,219.98,219.98,439.96,8.46,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,12.11,12.11,629.71,629.71,1259.42,24.22,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,14.78,14.78,768.3,768.3,1536.6,29.56,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,13.62,13.62,708.43,708.43,1416.86,27.24,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.28,6.28,326.49,326.49,652.98,12.56,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.1,6.1,317.4,317.4,634.8,12.2,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
0,1,0,90,0,0,1,33,0,0,0,0,0,0,0,0,0,90,90,90,1,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,6.05,6.05,314.64,314.64,629.28,12.1,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,276.23,276.23,14364.05,14364.05,28728.1,552.46,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,634.35,634.35,32986.06,32986.06,65972.12,1268.7,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
0,1,0,83,0,0,1,26,0,0,0,0,0,0,0,0,0,83,83,83,1,0,0,1,1,0,0,0
1,1,52,52,0,0,0,0,86.46,86.46,4495.78,4495.78,8991.56,172.92,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.31,6.31,327.93,327.93,655.86,12.62,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,5.17,5.17,268.84,268.84,537.68,10.34,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,5.3,5.3,275.69,275.69,551.38,10.6,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,21.52,21.52,1118.79,1118.79,2237.58,43.04,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,25.53,25.53,1327.31,1327.31,2654.62,51.06,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,27.01,27.01,1404.7,1404.7,2809.4,54.02,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.03,6.03,313.45,313.45,626.9,12.06,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.75,6.75,350.93,350.93,701.86,13.5,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,0,1,0,0,1,0,0,0
1,1,52,52,0,0,0,0,6.47,6.47,336.37,336.37,672.74,12.94,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,76.0,76.0,3951.87,3951.87,7903.74,152.0,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,52,52,0,0,0,0,42.15,42.15,2191.69,2191.69,4383.38,84.3,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
