outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE
5,5,355,416,0,0,0,0,11.07,11.07,785.67,920.67,1706.34,22.14,139,139,71.0,200,200,83.2,1,1,0,1,1,0,0,0
4,3,512,384,0,0,0,0,344.05,258.04,44038.3,33028.72,77067.02,602.09,348,348,128.0,272,272,128.0,0,1,0,1,1,0,0,0
4,3,517,384,0,0,0,0,97.73,73.3,12631.46,9381.97,22013.43,171.03,353,353,129.25,272,272,128.0,0,1,0,1,1,0,0,0
24,22,2557,16810,6,748,4,3228,8.32,7.62,885.9,5824.02,6709.92,15.940000000000001,569,569,106.54166666666667,1480,1480,764.0909090909091,0,1,0,1,1,0,0,0
9,8,1345,5674,2,336,1,1421,90.67,80.59,13549.8,57161.03,70710.83,171.26,569,569,149.44444444444446,1480,1480,709.25,0,1,0,1,1,0,0,0
16,13,1870,5041,5,482,7,894,32.83,26.68,3837.46,10344.73,14182.189999999999,59.51,569,569,116.875,1470,1470,387.7692307692308,0,1,0,1,1,0,0,0
10,6,2044,3516,0,0,0,0,4.22,2.53,863.51,1485.37,2348.88,6.75,431,431,204.4,851,851,586.0,0,1,0,1,1,0,0,0
10,7,1868,3676,2,687,2,347,10.12,7.08,1889.73,3718.76,5608.49,17.2,603,603,186.8,1500,1500,525.1428571428571,0,1,0,1,1,0,0,0
43,48,3628,59096,5,836,29,33566,69.89,78.02,5896.71,96050.77,101947.48000000001,147.91,615,615,84.3720930232558,1470,1470,1231.1666666666672,0,1,0,1,1,0,0,0
4,3,602,866,0,0,0,0,177.77,133.33,26754.09,38486.78,65240.869999999995,311.1,438,438,150.5,754,754,288.6666666666667,0,1,0,1,1,0,0,0
3,1,907,52,2,218,0,0,183.39,61.13,55446.41,3178.85,58625.26,244.51999999999998,569,569,302.3333333333333,52,52,52.0,0,0,0,1,1,0,0,0
56,73,5569,96348,6,2104,8,11094,39.42,51.39,3920.24,67823.11,71743.35,90.81,569,569,99.44642857142857,1480,1480,1319.835616438356,0,1,0,1,1,0,0,0
14,11,2577,5745,4,1298,2,1200,17.63,13.85,3245.84,7236.08,10481.92,31.479999999999997,569,569,184.07142857142858,1480,1480,522.2727272727273,0,1,0,1,1,0,0,0
13,12,1582,11727,2,365,1,1423,19.87,18.34,2417.66,17921.59,20339.25,38.21,569,569,121.6923076923077,1480,1480,977.25,0,1,0,1,1,0,0,0
4,5,733,1704,0,0,0,0,6.15,7.68,1126.2,2618.06,3744.26,13.83,569,569,183.25,1480,1480,340.8,0,1,0,1,1,0,0,0
10,8,1619,4146,1,747,1,265,17.26,13.81,2794.6,7156.52,9951.12,31.07,804,804,161.9,1500,1500,518.25,0,1,0,1,1,0,0,0
10,8,1631,4146,1,759,1,265,17.57,14.05,2865.24,7283.43,10148.67,31.62,816,816,163.1,1500,1500,518.25,0,1,0,1,1,0,0,0
10,8,1631,4146,1,759,1,265,17.03,13.62,2777.45,7060.27,9837.720000000001,30.65,816,816,163.1,1500,1500,518.25,0,1,0,1,1,0,0,0
4,5,180,260,0,0,0,0,1.89,2.36,85.05,122.85,207.89999999999998,4.25,60,60,45.0,60,60,52.0,0,1,1,0,1,0,0,0
4,5,180,260,0,0,0,0,1.88,2.35,84.54,122.11,206.65,4.23,60,60,45.0,60,60,52.0,0,1,1,0,1,0,0,0
4,3,595,963,0,0,0,0,57.46,43.09,8546.76,13832.82,22379.58,100.55000000000001,431,431,148.75,851,851,321.0,0,1,0,1,1,0,0,0
2,1,112,60,0,0,0,0,69.13,34.57,3871.39,2073.96,5945.35,103.69999999999999,60,60,56.0,60,60,60.0,0,1,0,0,1,0,0,0
14,9,2604,4192,1,1189,1,230,15.75,10.13,2929.76,4716.42,7646.18,25.880000000000003,1246,1246,186.0,1500,1500,465.77777777777777,1,1,0,1,1,0,0,0
4,3,595,962,0,0,0,0,62.24,46.68,9258.37,14968.99,24227.36,108.92,431,431,148.75,850,850,320.6666666666667,0,1,0,1,1,0,0,0
3,3,180,156,1,19,0,0,14.13,14.13,847.8,734.76,1582.56,28.26,76,76,60.0,52,52,52.0,1,0,0,1,1,0,0,0
39,37,3419,6972,13,867,23,2316,29.33,27.82,2570.88,5242.52,7813.400000000001,57.15,569,569,87.66666666666667,1470,1470,188.43243243243242,1,1,1,1,1,0,0,0
4,3,602,866,0,0,0,0,632.08,474.06,95127.57,136844.64,231972.21000000002,1106.14,438,438,150.5,754,754,288.6666666666667,0,1,0,1,1,0,0,0
2,1,104,52,0,0,0,0,69.99,35.0,3639.64,1819.82,5459.46,104.99,52,52,52.0,52,52,52.0,1,0,0,0,1,0,0,0
1,1,40,60,0,0,0,0,981.58,981.58,39263.32,58894.98,98158.3,1963.16,40,40,40.0,60,60,60,0,1,1,0,1,0,0,0
1,1,40,60,0,0,0,0,159.74,159.74,6389.62,9584.42,15974.04,319.48,40,40,40.0,60,60,60,0,1,1,0,1,0,0,0
35,48,3608,6110,15,1065,33,3229,16.92,23.2,1743.73,2952.94,4696.67,40.120000000000005,686,686,103.08571428571429,632,632,127.29166666666664,0,1,0,1,1,0,0,0
1,1,52,52,0,0,0,0,42.01,42.01,2184.73,2184.73,4369.46,84.02,52,52,52,52,52,52.0,0,0,0,0,1,0,0,0
1,1,40,60,0,0,0,0,968.44,968.44,38737.51,58106.27,96843.78,1936.88,40,40,40.0,60,60,60,0,1,1,0,1,0,0,0
2,2,104,104,0,0,0,0,0.2,0.2,10.15,10.15,20.3,0.4,52,52,52.0,52,52,52.0,0,0,0,0,1,0,0,0
12,7,1149,4142,1,189,1,64,97.95,57.14,9378.83,33809.5,43188.33,155.09,251,251,95.75,1470,1470,591.7142857142857,1,1,0,1,1,0,0,0
4,6,160,326,0,0,1,33,166.97,250.46,6678.83,13608.11,20286.940000000002,417.43,40,40,40.0,90,90,54.333333333333336,1,0,1,1,1,0,0,0
6,4,904,648,0,0,0,0,0.34,0.22,50.48,36.19,86.66999999999999,0.56,348,348,150.66666666666666,272,272,162.0,0,0,0,1,1,0,0,0
3,3,156,156,0,0,0,0,0.07,0.07,3.78,3.78,7.56,0.14,52,52,52.0,52,52,52.0,0,0,0,0,1,0,0,0
2,2,104,104,0,0,0,0,0.2,0.2,10.16,10.16,20.32,0.4,52,52,52.0,52,52,52.0,0,0,0,0,1,0,0,0
2,2,104,104,0,0,0,0,0.2,0.2,10.26,10.26,20.52,0.4,52,52,52.0,52,52,52.0,0,0,0,0,1,0,0,0
6,4,1070,1806,0,0,0,0,0.15,0.1,27.37,46.19,73.56,0.25,431,431,178.33333333333334,851,851,451.5,0,0,0,1,1,0,0,0
4,4,960,478,1,747,1,265,0.1,0.1,24.62,12.26,36.88,0.2,804,804,240.0,322,322,119.5,0,0,0,1,1,0,0,0
5,3,862,596,0,0,0,0,0.41,0.25,70.58,48.8,119.38,0.6599999999999999,353,353,172.4,272,272,198.66666666666666,0,0,0,1,1,0,0,0
13,10,1692,7121,1,679,1,1443,0.55,0.42,71.85,302.39,374.24,0.97,736,736,130.15384615384616,1500,1500,712.1,1,1,1,1,1,0,0,0
3,3,156,156,0,0,0,0,0.07,0.07,3.76,3.76,7.52,0.14,52,52,52.0,52,52,52.0,0,0,0,0,1,0,0,0
4,3,1847,426,2,1629,1,265,0.1,0.08,46.52,10.73,57.25,0.18,904,904,461.75,322,322,142.0,0,0,0,1,1,0,0,0
4,4,1165,478,1,952,1,265,0.31,0.31,89.46,36.7,126.16,0.62,1009,1009,291.25,322,322,119.5,0,0,0,1,1,0,0,0
1,1,40,60,0,0,0,0,996.27,996.27,39850.87,59776.3,99627.17000000001,1992.54,40,40,40.0,60,60,60,0,1,1,0,1,0,0,0
2,2,104,104,0,0,0,0,0.2,0.2,10.16,10.16,20.32,0.4,52,52,52.0,52,52,52.0,0,0,0,0,1,0,0,0
2,2,104,104,0,0,0,0,0.19,0.19,10.13,10.13,20.26,0.38,52,52,52.0,52,52,52.0,0,0,0,0,1,0,0,0
4,3,587,955,0,0,0,0,0.1,0.08,15.01,24.42,39.43,0.18,431,431,146.75,851,851,318.3333333333333,0,0,0,1,1,0,0,0
20,18,2161,5811,6,791,8,1126,109.64,98.67,11846.47,31855.56,43702.03,208.31,378,378,108.05,1470,1470,322.8333333333333,0,1,0,1,1,0,0,0
3,3,120,270,0,0,3,99,189.58,189.58,7583.04,17061.83,24644.870000000003,379.16,40,40,40.0,90,90,90.0,1,0,1,1,1,0,0,0
1,0,60,0,0,0,0,0,0,0,0,0,0,0,60,60,60,0,0,0,0,1,0,0,0,0,0,0
2,2,80,166,0,0,0,0,1.26,1.26,50.58,104.95,155.53,2.52,40,40,40.0,83,83,83.0,1,0,1,1,1,0,0,0
2,2,80,228,0,0,2,52,1.14,1.14,45.41,129.43,174.84,2.28,40,40,40.0,114,114,114.0,1,0,1,1,1,0,0,0
2,2,80,166,0,0,0,0,1.21,1.21,48.5,100.64,149.14,2.42,40,40,40.0,83,83,83.0,1,0,1,1,1,0,0,0
2,2,80,166,0,0,0,0,1.05,1.05,42.19,87.55,129.74,2.1,40,40,40.0,83,83,83.0,1,0,1,1,1,0,0,0
2,2,80,166,0,0,0,0,0.86,0.86,34.38,71.34,105.72,1.72,40,40,40.0,83,83,83.0,1,0,1,1,1,0,0,0
0,1,0,90,0,0,1,33,0,0,0,0,0,0,0,0,0,90,90,90,1,0,0,1,1,0,0,0
1,1,40,83,0,0,0,0,65.81,65.81,2632.22,5461.85,8094.07,131.62,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,43.53,43.53,1741.17,3612.93,5354.1,87.06,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
1,1,40,114,0,0,1,26,83.23,83.23,3329.34,9488.62,12817.960000000001,166.46,40,40,40.0,114,114,114,1,0,1,1,1,0,0,0
1,1,40,83,0,0,0,0,84.12,84.12,3365.0,6982.37,10347.369999999999,168.24,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
4,3,512,384,0,0,0,0,145.23,108.92,18589.55,13942.16,32531.71,254.14999999999998,348,348,128.0,272,272,128.0,0,1,0,1,1,0,0,0
4,3,517,384,0,0,0,0,26.01,19.51,3361.69,2496.88,5858.57,45.52,353,353,129.25,272,272,128.0,0,1,0,1,1,0,0,0
1,1,40,83,0,0,0,0,85.99,85.99,3439.43,7136.83,10576.26,171.98,40,40,40.0,83,83,83,1,0,1,1,1,0,0,0
